ind,CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK
66,12428.0,25,11,3477,6366.0,578.7272727272727,256,0.8865979381443299,1,9,0
67,12429.0,9,4,1538,3388.4,847.1,81,3.827956989247312,0,12,0
68,12430.0,43,1,116,216.4,216.4,10,0.0,3,15,0
69,12431.0,35,18,2839,6243.89,346.8827777777778,162,1.4382978723404256,3,14,0
70,12432.0,42,4,1800,4359.32,1089.83,106,1.2264150943396226,0,13,0
71,12433.0,0,7,11071,13375.87,1910.8385714285716,219,0.8902147971360382,2,13,0
72,12434.0,84,4,373,765.19,191.2975,49,5.2075471698113205,4,12,0
73,12435.0,79,2,2055,7829.89,3914.945,31,5.371428571428571,3,7,0
74,12436.0,99,1,209,429.01000000000005,429.01000000000005,15,0.0,3,12,0
75,12437.0,1,19,2889,4392.66,231.19263157894736,117,1.7934782608695652,2,9,0
76,12438.0,14,2,1169,2466.85,1233.425,83,1.3263157894736841,4,13,0
77,12441.0,366,1,120,155.55,155.55,10,0.0,2,10,0
78,12442.0,3,1,181,144.06,144.06,11,0.0,1,14,0
79,12444.0,21,5,1130,4085.46,817.092,137,0.8771929824561403,1,14,0
80,12445.0,22,1,60,77.4,77.4,3,0.0,3,18,0
81,12446.0,57,1,351,1002.3100000000001,1002.3100000000001,57,0.0,3,12,0
82,12447.0,243,1,187,431.49,431.49,25,0.0,6,13,0
83,12448.0,44,1,240,365.45,365.45,21,0.0,2,13,0
84,12449.0,22,4,1523,3596.29,899.0725,117,0.8870967741935484,3,9,0
85,12450.0,156,2,128,197.88,98.94,7,2.4285714285714284,6,14,0
86,12451.0,10,6,6454,8893.52,1482.2533333333333,264,0.8895184135977338,2,9,0
87,12452.0,16,1,181,348.57,348.57,20,0.0,2,8,0
88,12453.0,134,1,473,707.09,707.09,43,0.0,3,14,0
89,12454.0,53,2,0,5.684341886080802e-14,2.842170943040401e-14,15,0.10344827586206896,0,15,0
90,12455.0,73,5,2084,2339.86,467.97200000000004,84,2.6547619047619047,2,9,0
91,12456.0,44,4,1601,2553.89,638.4725,104,1.68,2,15,0
92,12457.0,58,11,686,1597.78,145.25272727272727,52,2.873015873015873,2,15,0
93,12458.0,71,2,502,787.4,393.7,34,6.085714285714285,0,10,0
94,12461.0,154,1,282,626.88,626.88,34,0.0,4,10,0
95,12462.0,2,4,505,872.01,218.0025,50,4.36231884057971,2,14,0
96,12463.0,46,6,751,1165.63,194.27166666666668,65,2.3780487804878048,1,13,0
97,12464.0,10,8,95,957.05,119.63125,5,14.238095238095237,3,13,0
98,12465.0,7,3,471,673.89,224.63,45,3.375,3,13,0
99,12468.0,143,3,360,652.04,217.34666666666666,35,4.675675675675675,6,11,0
100,12471.0,2,45,7846,16323.52,362.7448888888889,150,0.7297830374753451,3,9,0
101,12472.0,30,13,3992,5725.48,440.42153846153843,225,0.8955613577023499,2,14,0
102,12473.0,53,4,2323,2545.27,636.3175,138,0.8313253012048193,0,11,0
103,12474.0,17,30,4715,6434.7699999999995,214.4923333333333,252,0.8013698630136986,1,10,0
104,12475.0,53,1,532,669.38,669.38,35,0.0,0,10,0
105,12476.0,1,20,2286,5628.58,281.429,176,1.4173228346456692,3,10,0
106,12477.0,22,9,3620,13117.01,1457.4455555555555,192,0.9413680781758957,4,9,0
107,12478.0,3,1,233,545.99,545.99,35,0.0,1,9,0
108,12479.0,3,3,348,423.3,141.1,30,0.24242424242424243,0,13,0
109,12480.0,28,4,1685,2885.63,721.4075,128,2.0671140939597317,4,14,0
110,12481.0,22,11,3248,4998.36,454.3963636363636,149,1.6490384615384615,0,10,0
111,12483.0,17,11,1084,1873.13,170.28454545454545,45,4.535211267605634,1,11,0
112,12484.0,35,6,2160,3892.87,648.8116666666666,255,0.8801169590643275,4,13,0
113,12488.0,9,3,526,1244.66,414.8866666666667,45,1.2452830188679245,2,10,0
114,12489.0,336,1,103,298.93,298.93,14,0.0,4,13,0
115,12490.0,5,10,3033,4859.93,485.99300000000005,130,1.3846153846153846,2,13,0
116,12491.0,38,1,258,424.40000000000003,424.40000000000003,24,0.0,1,12,0
117,12492.0,63,2,190,227.21,113.605,18,2.4705882352941178,4,15,0
118,12493.0,165,3,203,362.79,120.93,18,1.6,3,14,0
119,12494.0,9,13,682,995.35,76.56538461538462,62,4.684210526315789,3,13,0
120,12497.0,81,1,1231,953.1,953.1,13,0.0,0,12,0
121,12498.0,21,3,156,349.70000000000005,116.56666666666668,20,1.8,3,9,0
122,12500.0,23,12,2660,4023.27,335.2725,32,5.849056603773585,4,10,0
123,12501.0,315,2,1714,1945.68,972.84,148,0.13291139240506328,4,12,0
124,12502.0,95,5,794,2995.87,599.174,101,1.5177304964539007,3,11,0
125,12504.0,18,4,48,59.99999999999999,14.999999999999998,5,0.9230769230769231,0,16,0
126,12506.0,232,1,23,73.5,73.5,23,0.0,3,8,0
127,12507.0,134,4,874,1006.06,251.515,18,8.631578947368421,0,9,0
128,12508.0,26,2,271,397.88,198.94,57,0.04477611940298507,3,16,0
129,12509.0,284,1,54,158.5,158.5,6,0.0,0,14,0
130,12510.0,142,2,347,814.5699999999999,407.28499999999997,28,6.1,1,14,0
131,12512.0,66,2,96,132.18,66.09,31,0.0,1,14,0
132,12513.0,84,2,453,532.79,266.395,34,0.8235294117647058,4,10,0
133,12514.0,267,1,440,1017.68,1017.68,51,0.0,3,16,0
134,12515.0,353,1,128,278.7,278.7,15,0.0,1,15,0
135,12516.0,77,2,868,1186.06,593.03,19,4.478260869565218,4,9,0
136,12517.0,28,5,1328,2263.65,452.73,231,0.5848375451263538,3,15,0
137,12518.0,0,5,1306,1840.89,368.178,83,0.9322033898305084,4,10,0
138,12519.0,63,1,172,276.84,276.84,16,0.0,4,9,0
139,12520.0,79,6,1414,2294.5099999999998,382.4183333333333,120,1.3020134228187918,4,11,0
140,12521.0,142,1,306,545.68,545.68,37,0.0,2,10,0
141,12522.0,39,2,192,156.72,78.36,10,1.3333333333333333,0,14,0
142,12523.0,1,13,856,1655.57,127.35153846153845,83,3.142857142857143,2,9,0
143,12524.0,9,8,3669,3945.72,493.215,112,2.4,3,13,0
144,12526.0,0,3,624,1172.66,390.8866666666667,63,1.4029850746268657,0,9,0
145,12527.0,81,3,233,330.71000000000004,110.23666666666668,17,15.25,1,12,0
146,12528.0,9,8,734,1634.28,204.285,49,3.4431818181818183,0,9,0
147,12530.0,59,5,891,1461.63,292.326,50,4.396825396825397,1,10,0
148,12531.0,14,1,45,125.22,125.22,17,0.0,4,11,0
149,12532.0,30,1,151,313.83000000000004,313.83000000000004,15,0.0,2,13,0
150,12534.0,130,1,645,981.18,981.18,62,0.0,0,10,0
151,12535.0,91,2,219,716.35,358.175,28,2.878787878787879,0,12,0
152,12536.0,7,2,2672,4151.26,2075.63,259,0.1947565543071161,1,14,0
153,12538.0,29,1,191,363.95,363.95,21,0.0,3,17,0
154,12539.0,22,4,2067,5568.35,1392.0875,157,1.1433823529411764,3,9,0
155,12540.0,19,19,6612,11489.039999999999,604.6863157894736,277,0.7386609071274298,1,10,0
156,12541.0,29,3,675,841.18,280.3933333333333,45,5.229166666666667,3,10,0
157,12544.0,29,2,130,299.7,149.85,18,0.3888888888888889,3,16,0
158,12545.0,75,2,517,832.39,416.195,41,3.9148936170212765,4,12,0
159,12546.0,46,3,612,1001.5,333.8333333333333,58,0.4626865671641791,4,9,0
160,12547.0,197,2,132,151.79999999999998,75.89999999999999,6,16.6,4,12,0
161,12548.0,166,1,48,67.19999999999999,67.19999999999999,4,0.0,6,15,0
162,12550.0,79,1,564,824.83,824.83,56,0.0,2,14,0
163,12551.0,357,1,100,168.0,168.0,10,0.0,4,11,0
164,12552.0,39,1,85,317.82,317.82,19,0.0,0,12,0
165,12553.0,8,14,1901,3238.25,231.30357142857142,94,1.7258064516129032,4,10,0
166,12556.0,50,2,355,599.56,299.78,100,0.8559322033898306,0,13,0
167,12557.0,16,5,4384,11990.960000000001,2398.192,15,11.09375,0,13,0
168,12558.0,1,2,0,1.0658141036401503e-14,5.329070518200751e-15,11,0.2857142857142857,3,10,0
169,12559.0,310,3,279,500.21000000000004,166.73666666666668,20,0.45,0,10,0
170,12560.0,5,3,1066,1885.39,628.4633333333334,91,1.2777777777777777,1,15,0
171,12561.0,302,1,177,238.85,238.85,16,0.0,3,11,0
172,12562.0,8,7,1757,3385.7400000000002,483.6771428571429,98,1.1875,3,8,0
173,12564.0,261,1,130,402.9,402.9,20,0.0,2,14,0
174,12565.0,281,2,75,131.17,65.585,9,0.7777777777777778,3,10,0
175,12566.0,72,2,261,292.7,146.35,18,0.7777777777777778,2,14,0
176,12567.0,22,11,4045,8322.94,756.6309090909091,322,0.76431718061674,6,11,0
177,12569.0,2,33,1741,3128.9900000000002,94.8178787878788,91,1.5923566878980893,3,14,0
178,12571.0,39,2,523,519.61,259.805,31,2.484848484848485,0,10,0
179,12572.0,8,3,444,896.72,298.9066666666667,52,0.7288135593220338,2,8,0
180,12573.0,227,1,84,160.54000000000002,160.54000000000002,26,0.0,1,15,0
181,12574.0,315,1,59,182.45000000000002,182.45000000000002,10,0.0,4,9,0
182,12576.0,35,6,964,1306.98,217.83,72,3.0568181818181817,4,10,0
183,12577.0,35,4,462,560.25,140.0625,136,2.2344827586206897,4,13,0
184,12578.0,21,4,1157,2361.36,590.34,111,2.7094017094017095,3,15,0
185,12579.0,73,2,276,374.72,187.36,28,0.17857142857142858,3,17,0
186,12580.0,246,1,236,379.7,379.7,23,0.0,3,10,0
187,12581.0,39,1,160,179.71,179.71,14,0.0,0,8,0
188,12582.0,238,2,296,351.36,175.68,20,2.6315789473684212,3,11,0
189,12583.0,2,17,4978,6629.34,389.96117647058827,114,1.5854700854700854,4,12,0
190,12584.0,3,18,351,1809.95,100.55277777777778,43,2.2338709677419355,1,13,0
191,12585.0,234,4,1246,1766.81,441.7025,76,1.2446808510638299,3,12,0
192,12586.0,17,2,77,179.94000000000003,89.97000000000001,12,31.90909090909091,1,16,0
193,12587.0,7,1,50,104.0,104.0,3,0.0,4,12,0
194,12588.0,39,1,52,174.89999999999998,174.89999999999998,9,0.0,0,15,0
195,12589.0,28,2,302,574.68,287.34,28,3.625,4,10,0
196,12590.0,190,2,4278,9338.38,4669.19,67,0.3088235294117647,3,14,0
197,12591.0,317,1,225,368.85,368.85,25,0.0,2,14,0
198,12592.0,92,2,288,401.6,200.8,10,8.066666666666666,1,13,0
199,12593.0,108,3,204,382.09999999999997,127.36666666666666,13,5.7894736842105265,1,9,0
200,12594.0,37,9,1772,3208.2200000000003,356.4688888888889,49,2.52212389380531,0,12,0
201,12596.0,51,2,468,450.27,225.135,24,7.958333333333333,0,13,0
202,12597.0,19,5,2165,3067.13,613.426,183,1.1913875598086126,6,13,0
203,12598.0,9,8,1928,2786.68,348.335,83,2.1653543307086616,4,12,0
204,12599.0,29,7,948,888.58,126.94000000000001,31,5.092592592592593,1,13,0
205,12600.0,28,10,758,2311.04,231.10399999999998,31,6.471698113207547,4,10,0
206,12601.0,189,6,239,479.56,79.92666666666666,20,6.217391304347826,3,10,0
207,12602.0,58,1,162,153.12,153.12,12,0.0,2,11,0
208,12604.0,79,2,200,236.18,118.09,14,13.0,2,12,0
209,12605.0,365,1,-4,-7.5,-7.5,3,0.0,3,15,0
210,12607.0,58,2,0,3.552713678800501e-15,1.7763568394002505e-15,101,0.009950248756218905,0,16,0
211,12609.0,78,3,639,964.85,321.6166666666667,56,4.285714285714286,0,15,0
212,12610.0,22,6,1018,1705.99,284.33166666666665,84,0.9811320754716981,4,13,0
213,12611.0,52,1,846,1193.32,1193.32,65,0.0,1,13,0
214,12612.0,57,2,249,607.59,303.795,18,0.8947368421052632,0,15,0
215,12613.0,31,5,1582,2966.98,593.396,123,1.4620253164556962,3,14,0
216,12614.0,277,1,76,315.6,315.6,20,0.0,0,10,0
217,12615.0,2,4,1365,2093.19,523.2975,81,1.66,3,10,0
218,12616.0,85,5,269,585.25,117.05,24,6.424242424242424,0,15,0
219,12617.0,29,1,210,352.98,352.98,39,0.0,3,14,0
220,12618.0,21,1,95,137.31,137.31,10,0.0,4,11,0
221,12619.0,16,11,3337,2908.81,264.4372727272727,48,2.788235294117647,3,14,0
222,12620.0,14,3,1179,1303.41,434.47,88,2.111111111111111,4,10,0
223,12621.0,1,23,7333,12334.07,536.2639130434783,260,0.8,3,11,0
224,12622.0,232,1,68,162.1,162.1,10,0.0,3,16,0
225,12623.0,276,1,189,269.1,269.1,17,0.0,1,13,0
226,12624.0,106,2,351,569.13,284.565,35,2.0285714285714285,2,12,0
227,12625.0,211,3,1563,2362.32,787.44,73,1.2413793103448276,0,13,0
228,12626.0,23,13,3313,5722.35,440.1807692307693,231,1.02020202020202,3,11,0
229,12627.0,10,6,2730,4082.53,680.4216666666667,161,0.5829596412556054,3,15,0
230,12628.0,4,4,442,715.61,178.9025,33,1.5384615384615385,3,9,0
231,12630.0,9,2,542,1030.88,515.44,59,0.5573770491803278,3,10,0
232,12631.0,57,1,232,480.5,480.5,30,0.0,3,13,0
233,12633.0,58,5,1136,1906.63,381.326,72,2.336734693877551,4,10,0
234,12635.0,89,2,1162,1509.18,754.59,95,0.6632653061224489,6,11,0
235,12637.0,67,9,2974,5790.25,643.3611111111111,204,0.6719160104986877,0,15,0
236,12638.0,33,1,573,511.69,511.69,38,0.0,6,13,0
237,12639.0,238,1,198,366.1,366.1,21,0.0,4,12,0
238,12640.0,23,3,301,994.58,331.5266666666667,46,1.183673469387755,0,12,0
239,12641.0,115,1,71,145.9,145.9,9,0.0,1,13,0
240,12642.0,25,3,546,905.26,301.75333333333333,38,1.9069767441860466,2,9,0
241,12643.0,128,6,1788,3041.64,506.94,10,12.0,1,12,0
242,12644.0,129,1,325,477.91,477.91,31,0.0,1,10,0
243,12645.0,33,5,1064,1611.38,322.276,57,4.101449275362318,0,12,0
244,12646.0,4,2,897,1346.97,673.485,43,1.0227272727272727,4,12,0
245,12647.0,22,13,1387,3093.92,237.99384615384616,77,3.043859649122807,6,12,0
246,12648.0,154,1,159,300.05,300.05,20,0.0,4,11,0
247,12649.0,107,4,571,549.71,137.4275,29,8.6,2,14,0
248,12650.0,3,1,250,242.44000000000003,242.44000000000003,19,0.0,1,16,0
249,12651.0,334,1,78,114.0,114.0,9,0.0,6,12,0
250,12652.0,322,2,495,788.53,394.265,47,0.1836734693877551,2,15,0
251,12653.0,148,2,919,2209.85,1104.925,37,3.5238095238095237,3,10,0
252,12654.0,10,5,260,529.98,105.99600000000001,30,8.636363636363637,3,10,0
253,12656.0,17,8,1684,3550.72,443.84,88,1.814516129032258,2,11,0
254,12657.0,11,5,646,1008.0600000000001,201.61200000000002,34,1.3137254901960784,3,11,0
255,12658.0,18,1,317,632.05,632.05,35,0.0,0,10,0
256,12659.0,29,1,104,73.68,73.68,4,0.0,3,11,0
257,12660.0,11,1,126,227.1,227.1,12,0.0,0,13,0
258,12662.0,0,12,2023,3511.08,292.59,128,1.6877828054298643,1,13,0
259,12664.0,8,9,1188,4391.88,487.9866666666667,9,11.62962962962963,1,12,0
260,12665.0,324,2,35,43.75,21.875,2,3.5,2,8,0
261,12666.0,359,1,-56,-227.44,-227.44,2,0.0,2,14,0
262,12667.0,58,1,391,460.13,460.13,32,0.0,2,17,0
263,12668.0,7,6,1560,3113.18,518.8633333333333,114,2.1349693251533743,0,13,0
264,12669.0,150,2,1104,1427.73,713.865,96,1.092783505154639,0,10,0
265,12670.0,10,6,1377,2734.15,455.69166666666666,57,2.522727272727273,3,9,0
266,12672.0,329,1,78,225.89999999999998,225.89999999999998,10,0.0,4,9,0
267,12673.0,5,2,349,574.52,287.26,41,8.025,0,11,0
268,12674.0,11,7,1096,1796.26,256.60857142857145,51,2.3058823529411763,1,9,0
269,12676.0,24,6,664,1091.39,181.89833333333334,32,7.552631578947368,1,15,0
270,12678.0,42,10,10876,16291.26,1629.126,103,1.980891719745223,4,7,0
271,12679.0,52,9,521,896.67,99.63,44,4.529411764705882,1,12,0
272,12680.0,0,4,439,790.81,197.7025,32,2.3541666666666665,3,12,0
273,12681.0,14,26,7442,12309.59,473.44576923076926,266,0.567524115755627,0,11,0
274,12682.0,3,31,5485,11019.82,355.478064516129,208,0.7449392712550608,1,14,0
275,12683.0,4,19,4850,7357.09,387.21526315789475,176,1.0373563218390804,3,15,0
276,12684.0,7,6,1973,2073.63,345.605,59,2.1237113402061856,1,10,0
277,12685.0,28,6,1507,2575.08,429.18,116,0.43333333333333335,3,10,0
278,12686.0,371,1,106,71.14,71.14,6,0.0,4,9,0
279,12688.0,113,1,3028,4873.8099999999995,4873.8099999999995,171,0.0,3,8,0
280,12689.0,25,2,622,1139.61,569.805,56,1.4782608695652173,0,8,0
281,12690.0,205,1,103,335.01,335.01,15,0.0,2,9,0
282,12691.0,28,5,388,927.8,185.56,20,12.653846153846153,0,14,0
283,12693.0,120,6,242,686.96,114.49333333333334,34,5.527777777777778,3,8,0
284,12694.0,70,2,503,761.67,380.835,31,3.323529411764706,3,17,0
285,12695.0,7,4,220,582.1,145.525,23,7.8076923076923075,2,12,0
286,12697.0,21,5,494,739.02,147.804,36,3.7948717948717947,3,15,0
287,12700.0,7,4,2944,4525.99,1131.4975,192,0.7908745247148289,2,9,0
288,12701.0,79,2,674,725.71,362.855,49,3.26,2,10,0
289,12702.0,19,1,52,201.0,201.0,11,0.0,6,10,0
290,12703.0,64,2,160,256.7,128.35,20,0.35,3,17,0
291,12704.0,7,8,991,1740.84,217.605,63,2.025,3,10,0
292,12705.0,15,13,3946,6328.24,486.7876923076923,227,1.002932551319648,4,14,0
293,12707.0,291,1,256,603.42,603.42,33,0.0,0,8,0
294,12708.0,29,16,1255,2346.32,146.645,85,2.079754601226994,0,10,0
295,12709.0,3,26,3792,8959.75,344.6057692307692,101,1.4578313253012047,3,15,0
296,12710.0,96,4,842,1004.5699999999999,251.14249999999998,74,1.4,6,14,0
297,12712.0,22,17,1019,3791.63,223.0370588235294,58,2.748031496062992,4,11,0
298,12713.0,0,1,505,794.55,794.55,37,0.0,4,12,0
299,12714.0,9,5,3046,4294.86,858.972,215,1.1264822134387351,3,9,0
300,12715.0,106,1,190,263.36,263.36,19,0.0,3,15,0
301,12716.0,3,2,703,963.49,481.745,59,1.9696969696969697,4,13,0
302,12717.0,151,2,502,830.98,415.49,48,1.8076923076923077,4,10,0
303,12718.0,71,1,201,202.25,202.25,18,0.0,3,16,0
304,12719.0,5,3,357,536.1,178.70000000000002,33,1.5384615384615385,6,13,0
305,12720.0,2,28,4618,5065.28,180.90285714285713,210,1.063768115942029,2,15,0
306,12721.0,31,7,1939,2358.98,336.9971428571429,133,2.127388535031847,3,12,0
307,12722.0,85,6,559,886.33,147.72166666666666,49,1.1818181818181819,2,8,0
308,12723.0,3,5,433,707.07,141.41400000000002,52,0.9253731343283582,2,15,0
309,12724.0,5,4,439,923.41,230.8525,46,6.8125,0,12,0
310,12725.0,371,1,162,371.8,371.8,23,0.0,4,15,0
311,12726.0,28,7,3132,2411.1,344.4428571428571,56,2.836206896551724,4,13,0
312,12727.0,10,8,2056,3425.7,428.2125,108,2.3484848484848486,2,11,0
313,12728.0,71,4,413,728.33,182.0825,37,6.365853658536586,1,13,0
314,12729.0,113,1,231,417.01,417.01,25,0.0,3,11,0
315,12731.0,23,14,8359,18660.41,1332.8864285714285,108,1.2445255474452555,0,10,0
316,12732.0,179,1,110,218.26000000000002,218.26000000000002,11,0.0,0,11,0
317,12733.0,234,1,137,383.95,383.95,22,0.0,1,16,0
318,12734.0,352,1,88,110.39999999999999,110.39999999999999,4,0.0,2,12,0
319,12735.0,315,2,363,689.5699999999999,344.78499999999997,37,0.55,3,14,0
320,12736.0,332,1,168,144.0,144.0,3,0.0,1,7,0
321,12738.0,372,1,147,137.35,137.35,10,0.0,3,18,0
322,12739.0,99,1,485,975.54,975.54,37,0.0,3,17,0
323,12740.0,63,1,342,427.6,427.6,27,0.0,4,10,0
324,12743.0,134,2,315,540.13,270.065,114,0.0,3,16,0
325,12744.0,56,4,5234,9120.39,2280.0975,177,1.2242990654205608,1,11,0
326,12747.0,2,11,1275,4196.01,381.4554545454546,42,3.5980392156862746,1,14,1
327,12748.0,0,217,23516,29819.99,137.41930875576037,1767,0.08402793421941879,2,11,1
328,12749.0,3,8,1421,3818.2,477.275,159,0.9170305676855895,0,12,1
329,12750.0,128,1,137,275.88,275.88,15,0.0,2,9,0
330,12752.0,81,1,2262,4366.78,4366.78,53,0.0,0,13,0
331,12753.0,3,11,11250,21024.01,1911.2736363636361,132,1.5676855895196506,2,11,0
332,12754.0,235,3,6481,3010.74,1003.5799999999999,49,1.1774193548387097,4,10,0
333,12755.0,249,3,867,2220.75,740.25,4,29.0,4,12,0
334,12756.0,86,1,144,112.07999999999998,112.07999999999998,4,0.0,2,9,0
335,12757.0,15,10,2375,4161.75,416.175,235,0.547486033519553,3,14,0
336,12758.0,116,2,2135,2791.59,1395.795,84,1.6666666666666667,1,12,0
337,12759.0,52,3,894,1411.44,470.48,80,2.4505494505494507,1,9,0
338,12762.0,7,2,1220,1702.52,851.26,61,0.2727272727272727,4,10,0
339,12763.0,138,2,316,494.08,247.04,16,13.588235294117647,6,15,0
340,12764.0,316,1,386,1693.88,1693.88,45,0.0,3,10,0
341,12766.0,3,7,3627,6457.63,922.5185714285715,204,1.1901639344262296,2,13,0
342,12769.0,238,1,356,1143.6,1143.6,32,0.0,4,10,0
343,12770.0,210,1,743,1351.45,1351.45,12,0.0,4,9,0
344,12772.0,59,1,551,752.47,752.47,54,0.0,1,9,0
345,12775.0,17,6,846,1246.24,207.70666666666668,46,4.819672131147541,1,7,0
346,12778.0,19,6,817,693.23,115.53833333333334,39,6.813953488372093,4,15,0
347,12779.0,21,12,1996,3868.7,322.39166666666665,88,2.2151898734177213,2,11,0
348,12781.0,21,4,592,671.72,167.93,24,9.74074074074074,0,8,0
349,12782.0,4,6,1056,1881.3200000000002,313.55333333333334,80,3.495049504950495,2,10,0
350,12783.0,2,4,611,1295.87,323.9675,74,0.948051948051948,4,11,0
351,12784.0,15,1,278,476.82,476.82,53,0.0,3,12,0
352,12785.0,2,2,126,249.71,124.855,13,27.846153846153847,4,13,0
353,12787.0,9,3,258,418.66,139.55333333333334,16,11.4375,1,9,0
354,12789.0,65,1,3,76.85,76.85,3,0.0,2,13,0
355,12790.0,192,1,164,294.92,294.92,20,0.0,1,14,0
